species_id	species_alt_id	species_name	representative_genome	gtdb_taxonomy	operational_taxonomy	count_hgm	count_ref	gut_species	new_species	cultured_species	high_quality	signalp_type
OTU-12217	253012	Clostridium symbiosum	SRS295012_18	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum	d__Bacteria;p__18;c__124;o__762;f__1517;g__6682;s__12217	24	9	Yes	No	Yes	Yes	gram-positive
OTU-12480	259429	Roseburia hominis	ERS396428_22	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	d__Bacteria;p__18;c__124;o__762;f__1517;g__6617;s__12480	131	1	Yes	No	Yes	Yes	gram-positive
OTU-05706	257758	Parabacteroides goldsteinii	927665.4	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	d__Bacteria;p__21;c__101;o__592;f__1142;g__4421;s__05706	11	10	Yes	No	Yes	Yes	gram-negative
OTU-05577	259269	Alistipes putredinis	445970.5	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	d__Bacteria;p__21;c__101;o__591;f__1149;g__4500;s__05577	908	3	Yes	No	Yes	Yes	gram-negative
OTU-04169	277724	Collinsella HGM04169	SRS013639_45	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04169	1	0	Yes	Yes	No	Yes	gram-positive
OTU-10793	276863	RF39 HGM10793	SRS021948_50	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-582	d__Bacteria;p__01;c__014;o__047;f__0084;g__0309;s__10793	1	0	Yes	Yes	No	Yes	gram-positive
OTU-12397	259595	Lachnospira sp.	ERS537221_53	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	d__Bacteria;p__18;c__124;o__762;f__1517;g__6490;s__12397	132	2	Yes	No	No	Yes	gram-positive
OTU-04952	256334	Prevotella HGM04952	ERS396489_48	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4368;s__04952	4	0	Yes	Yes	No	Yes	gram-negative
OTU-12285	250152	Eubacterium HGM12285	ERS608481_23	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F	d__Bacteria;p__18;c__124;o__762;f__1517;g__6515;s__12285	13	0	Yes	Yes	No	Yes	gram-positive
OTU-04316	257222	Collinsella intestinalis	521003.7	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	d__Bacteria;p__23;c__115;o__659;f__1278;g__5351;s__04316	12	2	Yes	No	Yes	Yes	gram-positive
OTU-14188	259707	Veillonella HGM14188	ERS537359_13	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	d__Bacteria;p__18;c__123;o__722;f__1409;g__5756;s__14188	3	0	Yes	Yes	No	Yes	gram-positive
OTU-12184	229980	Lachnospiraceae sp.	SRS476120_63	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__	d__Bacteria;p__18;c__124;o__762;f__1519;g__6569;s__12184	8	1	Yes	No	No	Yes	gram-positive
OTU-04171	262619	Collinsella HGM04171	ERS537342_47	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04171	1	0	Yes	Yes	No	Yes	gram-positive
OTU-04954	248305	Prevotella sp.	SRS476120_113	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4373;s__04954	23	1	Yes	No	No	Yes	gram-negative
OTU-14160	260996	Megasphaera sp.	1965622.3	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__	d__Bacteria;p__18;c__123;o__722;f__1409;g__5752;s__14160	8	3	Yes	No	Yes	Yes	gram-positive
OTU-05098	234187	Coprobacteraceae sp.	SRS144537_5	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__CAG-144;s__	d__Bacteria;p__21;c__101;o__592;f__1142;g__4472;s__05098	34	1	Yes	No	No	Yes	gram-negative
OTU-12856	272362	DTU089 HGM12856	SRS820598_44	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-251	d__Bacteria;p__18;c__124;o__751;f__1488;g__6213;s__12856	1	0	Yes	Yes	No	Yes	gram-positive
